Metric,Logic,Count
Question,No,1757
Question,Yes,1309
Protocol,No,3030
Protocol,Yes,36
LibrarianAuthor,No,3047
LibrarianAuthor,Yes,19
LibrarianConsulted,No,3004
LibrarianConsulted,Yes,62
Criteria,No,1112
Criteria,Yes,1954
DateSearch,No,2199
DateSearch,Yes,867
ListSource,No,129
ListSource,Yes,2937
SearchStrategy,No,154
SearchStrategy,Yes,2912
SearchString,No,2358
SearchString,Yes,708
SearchFilter,No,1795
SearchFilter,Yes,1271
Flowchart,No,1492
Flowchart,Yes,1574
Assessment,No,2698
Assessment,Yes,368
Reliability,No,2602
Reliability,Yes,464
InTitle,No,1210
InTitle,Yes,1856
